formula_pretty,FM/AFM,,
NpBr3,,,
LiV(OF)2,,,
CuO2F,,,
Er2Te5O13,,,
Ba3In2Br2O5,,,
FeTeBr7,,,
Tl4SnS3,,,
ZnSb4O9,,,
MgGeO3,,,
Ca(SbO2)4,,,
MgBi4O9,,,
Li3MnP2,,,
GaAg(PSe3)2,,,
W3O8,,,
BaH2O3,,,
SbP2O7,,,
Ni(HO)2,,,
CaHClO,,,
HfNCl,,,
TiNiO3,,,
KH4O2F,,,
Sr2Cu(BiO3)2,,,
LiFe2C2O7,,,
Tb2C,,,
ScBrO,,,
Gd2CF2,,,
Bi,,,
WO2,,,
V2CdO6,,,
Nb3IrS8,,,
Mo2HO6,,,
NaAsO2,,,
MgCr4O9,,,
LiVOF3,,,
GeTe,,,
SrBr3,,,
AuBr,,,
LiFeO2,,,
UF6,,,
Fe(CO3)2,,,
LiMnF4,,,
V2Cu2O7,,,
CaLaI5,,,
BeCrO4,,,
La2PI2,,,
Mn(CO3)2,,,
CoH6(SeO4)2,,,
Zn(InS2)2,,,
GeAs,,,
SiH2O,,,
CuTeO4,,,
CdTeMoO6,,,
U(HO2)2,,,
AgI2,,,
In3Te4,,,
CoPS3,,,
MnNb2Zn2O8,,,
Rb2Hg2PdCl8,,,
CuH2(CO2)2,,,
MgSnO2,,,
TiTlPS5,,,
TiCd,,,
Cr(CoO3)2,,,
Sr2TiCu2O7,,,
YWF5,,,
SrH4(SO4)3,,,
Nb2TeO8,,,
MnSbSe2Br,,,
ZrNCl,,,
HfBrN,,,
DyBC,,,
Sr2FeSO3,,,
HoBrO,,,
Cd3Se3O10,,,
SrCO3,,,
GaPS4,,,
Ca2FeClO3,,,
BSbO3,,,
BaTl(NiO3)2,,,
YNiF5,,,
LiAgF4,,,
PPdSe,,,
BaTaCuO5,,,
Ba3BPO7,,,
Ti(BiO3)2,,,
LiMnCr2O6,,,
Fe4S5,,,
TlF,,,
MgV2O6,,,
Ag2Se,,,
UTeN,,,
NdTe2Se,,,
Ta2Zn2FeO8,,,
CaCoO3,,,
TmClO,,,
AgClO2,,,
Sn3(HO2)2,,,
LiNiPO4,,,
Ta2Zn2CoO8,,,
V3Fe3(TeO8)2,,,
Ga2Os,,,
SrTa2Bi2O9,,,
MgMn4O9,,,
Li4V(TeO4)3,,,
VH2O3,FM,,
Ca2Bi10O17,,,
Tl2PAuS4,,,
H2PbO2,,,
LiSnPO4,,,
LiMnF4,,,
Al2Si2H4O9,,,
Mo3O7,,,
ZrI2,,,
SmZnPO,,,
Li2H2Pd,,,
LiV2OF7,,,
BaY3Br11,,,
Ca(TiS2)8,,,
Ca(HO)2,,,
Tl(MoO3)3,,,
MoN,,,
V4ZnO10,,,
CaH6C2O7,,,
LiAsO3,,,
Th(TeI)2,,,
Na(SnAs)2,,,
Sr(AlCl4)2,,,
MgCr2O5,,,
HfGeTe4,,,
HgH2NCl,,,
Sr2Cu2BiO7,,,
Si(PbS2)2,,,
MgCl2,,,
MgGe2WO6,,,
Hg3AsSe4Br,,,
CdHgAsBr,,,
Se2Cl2O5,,,
NaCdPO4,,,
Li2Fe2Si2O7,,,
LiMnF3,,,
Cu3OF5,,,
PrS3,,,
TeI,,,
LiCuO2,,,
K(SbSe2)2,,,
Cr4O9,,,
ZnCo2S5,,,
VOF,,,
NbBi7O13,,,
YTiF5,,,
MnBiS2Br,,,
Li2Nb4O11,,,
Ag(TeMo)6,,,
FeCo3O8,,,
MgMo2O5,,,
YCl,,,
Sb2TeSe2,,,
In2GaBiS6,,,
NdS3,,,
CdPS3,,,
Si3Mo,,,
SbBrO,,,
WF5,,,
Hg(BiS2)2,,,
NaBH8O7,,,
Fe3P2(HO)16,,,
Tl2Ni(CN)4,,,
VOF3,,,
VAg(PSe3)2,,,
Mg(AgO2)2,,,
Nb2WO8,,,
LiWCl6,,,
SiH,,,
ZnCl2,,,
I,,,
SnSe2,,,
ZnI2,,,
CaI2,,,
Ba2Co3O8,,,
YClO,,,
LiFeAs,,,
TiOF,,,
SbF5,,,
HfTeSe4,,,
AlHO2,,,
AgCNO,,,
NbIrS4,,,
KNO3,,,
Cr3Te4,FM,,
MoF5,,,
CaTi2O5,,,
USe3,,,
PbBrCl,,,
Lu2CCl2,,,
NbBr2O,,,
CuHO2,,,
CoH2SeO4,,,
LiCo5O5F,,,
LiFeF4,,,
NiO2,,,
Ca(Bi2O3)2,,,
ScPS4,,,
MoP4O13,,,
Al2O3,,,
Ge4Te7As2,,,
C3N4,,,
TaTe2,,,
MgW2O5,,,
ErCoSi2,,,
YBrO,,,
AgNO3,,,
AlSbO3,,,
VSe2,FM,,
Hg3AsS4Cl,,,
NbOF2,,,
As2Se3,,,
TiNbS4,,,
Fe(CoO3)2,,,
NaSbO2,,,
Mn2FeO6,FM,,
LiMnF5,,,
Sr(SnAs)2,,,
V6O13,,,
BiF4,,,
AgBiSCl2,,,
Mo(WO4)2,,,
LiVSiO4,,,
FeP4,,,
Hf2Al4C5,,,
Zn(SbO2)2,,,
V2MoO8,,,
BaMn4O8,,,
Sr3Nb4O13,,,
PbClF,,,
SbF5,,,
AlSnF5,,,
InGeCl3,,,
Fe3(O2F)2,,,
Mo3O8,,,
PrTe2Se,,,
TcS2,,,
CuBiSCl2,,,
ZnGeO3,,,
P2WO8,,,
Mg3(HO3)2,,,
P4WO13,,,
Zn3(InS3)2,,,
GeWO4,,,
P2Pd3S8,,,
AlBiO3,,,
GdBrO,,,
Mg2Te3O8,,,
Sr2Cu2O3,,,
WF4,,,
CrS2,,,
B2(CN2)3,,,
SmBrO,,,
AuO2F,,,
Ca3Pb3I14,,,
MnOF,,,
Zn(AsO2)2,,,
SnSe,,,
Na2Hf(HO)6,,,
Hg3(BO3)2,,,
BaTi4O8,,,
CdBiS2Br,,,
RbV4O10,,,
Li2MnP2O7,,,
PrIO,,,
AgClO2,,,
MnCSO7,,,
LuIO,,,
LiB(HO2)2,,,
Nb2Te3,,,
V2S5,,,
Ni(PS3)2,,,
Bi14Te13S8,,,
KV3(SeO6)2,,,
FeHO2,,,
Bi2Te2Se,,,
YbBrO,,,
As2S3,,,
SbN9,,,
LuH2ClO2,,,
LiSnCl3,,,
SrTa2H2O7,,,
Fe(Si2O3)2,,,
V3O7,,,
W(OF)2,,,
Bi2Te2WO10,,,
LiVCuO4,,,
LiVF3,,,
YMnF5,,,
CeBrO,,,
CuO2,,,
LiFePO4,,,
Zn2Te3O8,,,
Sr2Mn2GaO7,,,
TlInS2,,,
MnS2,FM,,
Ba2Co3O7,,,
GdSI,,,
As3HO6,,,
KBi(PSe3)2,,,
VO2,FM,,
Ta2TeO8,,,
YBrO,,,
C3N4,,,
Ti3H2O7,,,
Bi2SeO5,,,
Hg3Se4O5,,,
Te2SO7,,,
ZnP2(HO)4,,,
LiVBO4,,,
CdCu2O3,,,
FeBiSbS4,,,
YTe3,,,
NbFeTe2,,,
V2O5,,,
CuTe2Cl,,,
SnPO3F,,,
AgI,,,
Ca2Cu(BrO)2,,,
NiTeO4,,,
V2H3O5,,,
YbSi2Ni,,,
InSb2S4Br,,,
Sn(PO3)2,,,
Ba(FeO2)4,,,
AlTeCl7,,,
Cu3Se2(ClO3)2,,,
LiNiPO4,,,
NbNiTe5,,,
LiVF5,,,
Ca3Fe2Cl2O5,,,
Mn2FeO6,FM,,
SbO2,,,
Zn(BH4)2,,,
V(WO4)2,,,
ZrSiSe,,,
AlHO2,,,
BiBr3,,,
TeO3,,,
Si3Ir,,,
Co3TeO8,,,
Ag2SO4,,,
LiSO3F,,,
HoH2ClO2,,,
Ti(GaO2)4,,,
MnAs2F12,,,
Al(HO)3,,,
Mg5Sc,,,
Li2CuF5,,,
Mg2Ni3O8,,,
Ba2YI7,,,
BiMoO5,,,
Sr2CrSO3,,,
Li2Cr2O7,,,
VO2F,,,
TiGeTe6,,,
LiCu2(CO3)2,,,
NaHO,,,
Ni(HO)2,,,
BiS,,,
CuO,,,
Al(HO)3,,,
SnGe,,,
NbCoTe2,,,
NaClO2,,,
MoO2,,,
Mg2As,,,
ErClO,,,
SiP2,,,
Hg3AsSe4I,,,
Ag2Bi2S3Cl2,,,
WO2,,,
Li2CeP2,,,
NdIO,,,
SrTiSi2O7,,,
Co3NiO8,,,
Ba2TlNi2O7,,,
Fe3S4,,,
ZnCr2S5,,,
AgHO2,,,
InTeCl,,,
Cr(OF)2,,,
Sr2TaCu2O7,,,
VOF3,,,
ZnSe,,,
AgSbS2,,,
FeBiO3,,,
BSbO3,,,
CaSn2F6,,,
Cu2HgI4,,,
Mg4H2O5,,,
NaAsH4O5,,,
CaB2(HO)8,,,
ZnS,,,
NaSbF4,,,
Li2NiO2,,,
LiVF4,,,
MnSbSe2I,,,
CuSe2Br,,,
Hg4AsI5,,,
MnSbSe2Br,,,
K2S5,,,
NbOF3,,,
Nd2BC,,,
CoI2,AFM,,
Cr(PO4)2,,,
FeCuS2,,,
Al(HO)3,,,
YbH2ClO2,,,
MnSbS2Cl,,,
VOF3,,,
CaPbI4,,,
CrOF,FM,,
In3SbTe2,,,
LiAuI4,,,
CrSe,,,
Sb3Pb,,,
AgBrO4,,,
LiCrSiO4,,,
CoBr2,FM,,
InSnCl3,,,
YbI2,,,
CrGeTe3,FM,,
SrH4O3,,,
SmIO,,,
SbTeClO3,,,
TiO,,,
CuHO2,,,
CuI,,,
CrBiO4,,,
SrH4(ClO)2,,,
Nb2ReO8,,,
BiP(PbO2)4,,,
Mn3Co2Te3O16,,,
Cd(PO3)2,,,
Ba2Tl2Co3O10,,,
ZnSeO3,,,
Ta2Se3,,,
TmClO,,,
Al2Te3,,,
LiFeSiO4,,,
Al2Te5,,,
MnH2SO4,,,
Rb2Bi3F11,,,
TaNiTe5,,,
NaClO2,,,
GaTeI7,,,
BN,,,
Sr2Cu2SbO7,,,
Mn3F8,FM,,
KBi2F7,,,
Ni2SbTe2,,,
TiZn(GeO3)2,,,
AsSeI,,,
TcSO6F,,,
Er6I7,,,
Sr,,,
B2TeO5,,,
LiAgF2,,,
LiV3(TeO6)2,,,
CuHO2,,,
Al2O3,,,
Tm2Te5O13,,,
CuSe,,,
Tl2Cu3(SeO3)6,,,
Er(ReO4)2,,,
ZnW2O5,,,
Sr2MnSO3,,,
Re2NiO8,,,
Dy2(BiO2)7,,,
NaBi5O8,,,
SbPb2S2I3,,,
LiMn2F9,,,
BaTi2TlO6,,,
Ca3SiBr2,,,
NpIO,,,
TmI2,,,
Li2Cr3O6,,,
CaZn2(PO)2,,,
Sr2Cu(IO)2,,,
Ba2V3O8,,,
LiFe2O2F3,,,
MgCo4O9,,,
CdCl2,,,
P2Pb3O8,,,
Bi6B10O21,,,
FeTeCl7,,,
MgBiPO6,,,
UTeO5,,,
KClO3,,,
As2PHO6,,,
NpI3,,,
LiV(OF)2,,,
H3BrO,,,
LiCrO2,FM,,
Nb2Zn2CuO8,,,
Zn2SnN2,,,
GaH5(NF)2,,,
EuIn2Au,,,
ZnGaNO,,,
Co2NiO6,,,
Cu(HO)2,,,
YCoF5,,,
Zn2Cu(AsO4)2,,,
Mn3SnO8,,,
LiVF5,,,
NiS2,,,
HoIO,,,
La2GeI2,,,
KSb3O5,,,
CoOF,,,
Li2CoP2O7,,,
Ba2TlBi2O7,,,
Mn3CoO8,,,
TaTl(CuS2)2,,,
Li4CO4,,,
NbPO5,,,
MoO3,,,
Co2NiO6,,,
Cr(GaS2)2,,,
Ca5Ir,,,
Sr2Cu2WO7,,,
Al2S3,,,
Bi2PdO4,,,
BaUI6,,,
LiCo7O7F,,,
Mg(SbO2)2,,,
KCSN,,,
BaBi4O7,,,
Al(HO)3,,,
TiAu,,,
VBr2,,,
CuClO2,,,
BiAuO2,,,
Mg5(HO3)2,,,
SbOF3,,,
Ti4ZnO9,,,
AgPb4ClO4,,,
C,,,
Si3H,,,
Na3InCl6,,,
LaCrBiO6,,,
AgF2,,,
Mn2ZnO5,,,
Re3(TeBr)7,,,
Li2VF6,,,
LiV2O4,,,
CrO2,,,
Li3TeHO4,,,
RbAuS,,,
Cr(WO4)2,,,
V2Zn2O7,,,
Cu4Bi7S12,,,
Si3Sb2O9,,,
NdTeBrO3,,,
Cr3O7,,,
Zn2Sn3O8,,,
Sr2CoClO3,,,
LiH2IO,,,
VOF3,,,
Sr2Cr2GaO7,,,
YbClO,,,
AgCl,,,
KHCO2,,,
Ti2O7,,,
Tl2SiS3,,,
Ti3V2O9,,,
HfIN,,,
SmClF,,,
RbSbBrF3,,,
Ag2PdO2,,,
Np(OF)2,,,
SnSe,,,
CrCo3O8,,,
ScHO2,,,
LiV2OF5,,,
BaCu,,,
LiAg(CO2)2,,,
ZnH,,,
W3O8,,,
Rb3Mn2Cl7,,,
TlBr,,,
SnO2,,,
WO3,,,
Mg(SnN)2,,,
VBrO,,,
LaIO,,,
AgHgSI,,,
SnClF,,,
NiSe,FM,,
SrSbSe2F,,,
CaBi2O5,,,
NbIO2,,,
CrCuSe2,,,
ErTe3,,,
ScHO2,,,
Na3(TiS2)10,,,
BiBO3,,,
CuCO3,,,
LiCoO2,,,
MoF5,,,
ZnWO4,,,
TlAsO4,,,
Zn(InS2)2,,,
FeCl3,,,
Li2Mn3F8,,,
LuFeGe2,,,
SbF4,,,
Sb2S2O,,,
VO2,,,
Ba2Cr3O7,,,
GaTe,,,
CuTe2Br,,,
Mn(ReO4)2,,,
Ba(MoO2)4,,,
TaFeTe3,,,
SbO2,,,
BiO2,,,
Li4Fe(PO4)2,,,
CoF4,FM,,
Mn3VO8,,,
MoO2,,,
MnTlO3,,,
YCo,,,
KC2N3,,,
TbHO2,,,
NaHgCl3,,,
NaCSN,,,
ZrF4,,,
CuAsO3,,,
W(BrO)2,,,
CrO3,,,
Sn(BiTe2)2,,,
Ni(WO4)2,,,
Ba2ZrS4,,,
Sc5NCl8,,,
NbVO5,,,
UTe3,,,
SrH2I2O,,,
BiF5,,,
CaLaI5,,,
Mn(CO3)2,,,
Co3SbO8,,,
TiZn(BiO3)2,,,
U(SbO3)2,,,
TlPt2Se3,,,
Ta2PdSe6,,,
Sn3P4,,,
SrBi5O9,,,
Ba2Fe3O8,,,
Li2MnF6,,,
Be2Te7Cl6,,,
Li3Fe3(OF)4,,,
Li2H2Pt,,,
V2O5,,,
U(OF)2,,,
Ag3SI,,,
Ba2HfS4,,,
Mo2H2O7,,,
TmBiO3,,,
ZnBr2,,,
LiVF6,,,
Nb3Cl8,,,
HoCoSn2,,,
V3Zn2O8,,,
InTeClO3,,,
Ta2NiSe5,,,
Mn2CrO6,FM,,
LiFeBO4,,,
PtCl2,,,
Co(HO)2,,,
LiNiPO4,,,
SbN,,,
SbI3,,,
AgClO2,,,
LiCu2F5,,,
Rb(SbSe2)2,,,
TaF5,,,
CrO3,,,
YGaI,,,
LiCoPO4,,,
NaB(HO)4,,,
Nb(SeBr)2,,,
V2ZnO6,,,
MgSnO2,,,
Sc7(CCl5)2,,,
GePbS3,,,
MnSbS2Br,,,
SrTeO3,,,
Sr2FeBrO3,,,
TeHO3,,,
SnF3,,,
VCuO4,,,
Pb(BrO3)2,,,
Ho2CF2,,,
CuTe2I,,,
AsPO4,,,
MnBiS2Cl,,,
Sr2Cu2SnO7,,,
SnP2O7,,,
Cu(BiO2)2,,,
SnF4,,,
LiAg(CO2)2,,,
Te2Pd,,,
AgBi(PS3)2,,,
NbTe4Ir,,,
Li(CoO2)2,,,
Ag2CN2,,,
PW4Cl11,,,
Mn3CuO8,,,
BaTl(MoO3)2,,,
Ca(SbO2)2,,,
W(ClO)2,,,
CuHClO,,,
TaS3,,,
CdBiClO2,,,
SrLaCl5,,,
Li2UI6,,,
Eu(AlCl4)2,,,
W(OF)2,,,
Al2O3,,,
Li2SO4,,,
NaV2O5,,,
Sn(PS3)2,,,
BiF3,,,
CuSbS2,,,
CuH4(IO4)2,,,
FeHO2,,,
MnP2O7,FM,,
CaP(HO3)2,,,
TiO2,,,
MnCo3O8,,,
CdInGaS4,,,
LiBiB2O5,,,
Te(WO4)2,,,
EuBrO,,,
Sc5CCl8,,,
MnF4,,,
Ag(AuS)2,,,
Lu(HO)3,,,
MgGe2WO6,,,
GaH3NF3,,,
MnSe,,,
Sr3Cr2S2O5,,,
PdSeO3,,,
Sr2FeClO3,,,
Y3I7O,,,
TlTe3Pt2,,,
TlBS2,,,
Li2Ta2(OF2)3,,,
Si2Ru,,,
Ba(AlCl4)2,,,
SbOF,,,
LiFeF4,,,
GdOF,,,
PrGe5,,,
VHgO3,,,
Li5NiOF5,,,
KH3C2O3,,,
V4O9,,,
NaHO,,,
Te,,,
MgV2S5,,,
TaNb2Zn2O8,,,
Nb2Ge2O7,,,
ZnFe2S5,,,
YBiO3,,,
Co(CO3)2,,,
BaZnF4,,,
Nb2Zn2CrO8,,,
ThTeO,,,
Sn2P3O10,,,
ZnWO4,,,
CaTi(GeO3)2,,,
Mn(SbS2)2,,,
CuTeO3,,,
Nb2Zn2SbO8,,,
Sr2Cu2MoO7,,,
ZrBrO,,,
ScClO,,,
LiIn(IO3)4,,,
CeSiI,,,
ZrS3,,,
NaMgAs,,,
MgCl2,,,
BiBr3,,,
Zn(SbO2)2,,,
CuAgTe2,,,
CrHg(PbO3)2,,,
Nb2Zn2CoO8,,,
CrSb(PO4)2,,,
Yb(AlGe)2,,,
Mn3TeO8,,,
LiFePO4,,,
Zn2Fe3O8,,,
Ba2Hg,,,
ZnCr2O5,,,
ZrTlF5,,,
Pb2O3,,,
Cr3O8,,,
CdH2SeO4,,,
Ta2CS2,,,
Al(HO)3,,,
CuMoO4,,,
Ta3SBr7,,,
AgIrF7,,,
VO2F,,,
FeSb(PO4)2,,,
MnTeO4,,,
MgV4O10,,,
Gd2CCl2,,,
LiTePO5,,,
SrVSi2O7,,,
C,,,
Li2MnF6,,,
Te3As2,,,
Sr2GaBi2O7,,,
NbTeI3,,,
VOF,,,
LiCuS2,,,
Bi3Se2ClO8,,,
Mn(CuCl2)2,,,
TiGeO3,,,
LiSb3(PO5)2,,,
LiNi(PS3)2,,,
BiF5,,,
Te2Mo,,,
Cd(HO)2,,,
LiBi(PO3)4,,,
V(TeO3)4,,,
Te(WO4)2,,,
ZrGeTe,,,
Mn2F7,,,
CdInGaS4,,,
NaW2(Br3O)2,,,
MnF3,,,
Sr(IO3)2,,,
BaH4O3,,,
NaAsO2,,,
Ga2CuCl8,,,
SbAsO4,,,
Ba2InBrO3,,,
H2Pb4SO8,,,
ScIO,,,
TaPbF7,,,
Li(FeO2)3,,,
InS,,,
ZnBi4O9,,,
Ta(WO4)2,,,
LiCu(PO3)4,,,
Nb2MoO8,,,
CaSnS3,,,
Al2S3,,,
Hg2W2O7,,,
SbO2,,,
Ag3SbS3,,,
Sb2O5,,,
HIO3,,,
YIO,,,
LiFe2OF5,,,
Ga2Fe2S5,,,
CdBiSe2I,,,
NaSb(PS3)2,,,
Ta2I5,,,
Co2TeCl2O3,,,
ZnGe2WO6,,,
Bi2Te4Pb,,,
NaI3O8,,,
YVF5,,,
Li3V4O11F,,,
Hg3SeO6,,,
AgGeO3,,,
PbWO4,,,
CdSnO3,,,
TlMo2Cl7O2,,,
Cd2SiO4,,,
Li(CoO2)3,,,
LiCuPO4,,,
SrLaCl5,,,
AgHgAsS3,,,
CdBiSe2Br,,,
MgCr2F12,,,
VF4,,,
Ca(BiO2)2,,,
Re2S2O13,,,
Mg(SbO2)4,,,
Mn3OF6,,,
Sr2CoCu2O7,,,
Nb9IrSe20,,,
MgWF4,,,
Bi2B2O7,,,
Mg(BiO2)4,,,
CuB2(CN)8,,,
Dy2Te5O13,,,
Li2Cu3F8,,,
Sr2VCu2O7,,,
ReHgO4,,,
Sr2GaSb2O7,,,
ZnS,,,
MgV4O9,,,
BiP2O7,,,
ZnCo4O9,,,
AlBiBr6,,,
NaTm(SO4)2,,,
CaPbI4,,,
V4ZnO9,,,
As2Pb2O5,,,
Li2Cu2F7,,,
ZnH6(SeO4)2,,,
V2P4S13,,,
MgTi(GeO3)2,,,
NdPb6F15,,,
Zn(SnO2)2,,,
MgV2O5,,,
Hg(TeO3)2,,,
LiVF4,,,
La(HO)3,,,
ReSeCl,,,
BaTlV2O6,,,
Bi6W4O21,,,
V3(OF)4,,,
SnCCl3,,,
In2S3,,,
CuHgO2,,,
BaClO3,,,
CeSi5,,,
Ta3SeI7,,,
Ba(NiO2)4,,,
CrPO5,,,
Co(ClO4)2,,,
LaMgI5,,,
Mg2SiO4,,,
WF5,,,
ZnFe2O5,,,
PPdS,,,
Li2V(CO3)2,,,
ErAg(PSe3)2,,,
Ba(SnO2)4,,,
TiPbO3,,,
H5W,,,
Mn(NbS2)2,,,
FeSe,,,
C3N,,,
FeAgS2,,,
Na2SnO6,,,
SrP2(HO)4,,,
SiAs2,,,
VSO5,,,
MnSbO4,,,
Re(AgCl3)2,,,
Na2UI6,,,
MoO3,,,
Ta3TeI7,,,
Nb3I8,,,
V(CO3)2,,,
Si3N4,,,
UTe5,,,
Li2WS4,,,
I,,,
GeP3,,,
Al2FeS4,,,
PuF3,,,
TiTl2F6,,,
AsI3,,,
Bi2CO5,,,
NiS2,,,
Ba(SbO2)4,,,
CuSiO3,,,
Li2CuP,,,
KHCO3,,,
InSiTe3,,,
Zn2Ni3O8,,,
BaSn2,,,
BaSi2,,,
CaInBr3,,,
InPF3,,,
ScClO,,,
FePb2(CN)6,,,
Br,,,
FeS,,,
NaSnN,,,
MgGa,,,
CuWO3F2,,,
CaGaN,,,
AgBiO2,,,
Sn4Pd,,,
U(HO2)2,,,
Bi2Pd,,,
SrMnSn,,,
YbBi2,,,
USeO5,,,
FeTe,AFM,,
LaWClO4,,,
LiFeP,,,
U(HO2)2,,,
Li3Co(NiO3)2,,,
Cu2IO3,,,
VAg(PS3)2,,,
K2P2Pd,,,
NaMgSb,,,
NaSnO,,,
La2I5,,,
CdPSe3,,,
BaTlCuO4,,,
SnClF,,,
Nb2CoS4,,,
NpTe3,,,
VPbO3,,,
ScSn3,,,
Rb3Nb2Br9,,,
K2As2Pd,,,
Ba2Mn2TlO7,,,
Ba(BiO2)4,,,
LiMg6C,,,
CeMg2,,,
CuAuO2,,,
Na2H10SO5,,,
CrAgS2,,,
TaNi2Te3,,,
NaTlO,,,
La(BiO2)2,,,
TlPt2S3,,,
Ta(NiTe)2,,,
AgBi(PSe3)2,,,
AlCrF5,,,
ErTe3,,,
LiClO2,,,
Pb3SeO5,,,
Li4TiS4,,,
ZnH4(NO4)2,,,
BaTiO3,,,
LiCoSiO4,,,
ErBiO3,,,
Tl3(MoO4)2,,,
TmAg(PSe3)2,,,
UTe3,,,
CeZnPO,,,
YbIO,,,
HgBr2,,,
VMoO5,,,
MgCuGe,,,
Mg2Co3O8,,,
LiMn5O5F,,,
LiNiPO4,,,
Li3BiS3,,,
K2GeTe4,,,
LiMnO2,,,
Gd2Br3,,,
GdGa2Co,,,
Feb-02,,,
NaNO2,,,
Mg3Si2H4O9,,,
LuCoGe2,,,
LiCdPO4,,,
Ba2Mn3Tl2O10,,,
Cu3OF5,,,
K2GeSe4,,,
Sb2O3,,,
Al2Si4O11,,,
CaV2O5,,,
GeBi2O5,,,
BaSn2(HO2)2,,,
InBi2Se4Br,,,
Zn(SnO2)4,,,
ZnCr2O5,,,
Ti3H2O7,,,
AlTeI7,,,
LiAgF4,,,
CuHgSeCl,,,
Li2Cr4O13,,,
Hg2AsCl2,,,
BaLaI5,,,
NaTiCuS3,,,
Mn2ZnS5,,,
CuHgSeBr,,,
Ho2Te5O13,,,
Ta2VZn2O8,,,
VAg2PO6,,,
Li2VP4O13,,,
Li3V2(O2F)2,,,
Ta2O5,,,
PdSeO3,,,
Nd3O2F5,,,
LiFe2F5,,,
CuN6,,,
HgCN2,,,
Te2Mo,,,
Ta3SiTe6,,,
AlInI4,,,
AcSe3,,,
LiSb(PO3)4,,,
Ca3(CoO3)2,,,
Mn2P4O13,FM,,
WBr2,,,
CaSnS3,,,
Bi4I,,,
H3I3N2,,,
Li3V5O14,,,
Li2Sn(PO3)4,,,
CuH2SO5,,,
LiSb(PO3)4,,,
AlPI8,,,
VPO5,,,
HgSO4,,,
AgCN3O2,,,
BaH6C4O7,,,
Mg(SbO2)2,,,
V3O2F5,,,
Li5Zn4(BO3)4,,,
HAuO2,,,
Cr3O8,,,
LiVF5,,,
V2O5,,,
BiSbO5,,,
NaH3C2O5,,,
V2Re2O11,,,
V3H5O8,,,
KTe2F9,,,
Cu(IO3)2,,,
VH2SeO5,,,
LiFeF4,,,
Cu3Se2(ClO3)2,,,
Zn(Sn2O3)2,,,
KNbCl6,,,
La2Br5,,,
FeSeCl7,,,
V2Ni(PO5)2,,,
VF4,,,
CuB2(PbO3)2,,,
SrLaBr5,,,
Sn7(SBr5)2,,,
CaV4O10,,,
Cu2WO4,,,
Li2FeP4O13,,,
PtCI2O,,,
LiFeF5,,,
AgMo3(PO7)2,,,
Li2MoP4O13,,,
Sn4SF6,,,
CaAsH5O6,,,
RbSb2F7,,,
Sr2FeCu2O7,,,
Ta3I7,,,
V3Co3(TeO8)2,,,
UP2(PbO5)2,,,
Sb(PO3)4,,,
Ti2ZnS5,,,
TiZnF5,,,
LiFe3(OF3)2,,,
MgH4(NO4)2,,,
TaTe2,,,
SrPH3O4,,,
Nb2Zn2WO8,,,
CuS4BrN4,,,
LiSn2P3O10,,,
Nb2Zn2FeO8,,,
LiVF4,,,
Li2CrP4O13,,,
Li3Sb2(PO4)3,,,
K2HgCl4,,,
Te6MoBr3,,,
Zn3P2,,,
Hg4P2O7,,,
Sn2P3O10,,,
SnBrCl,,,
Pb3SO6,,,
HoIO,,,
LiSbO2,,,
KCrIO6,,,
AgBi2F12,,,
In(IO3)3,,,
YI3,,,
Nb4IrSe10,,,
LiV(SO4)3,,,
YCrF5,,,
LiNiPO4,,,
LiWF6,,,
Tm(HO)3,,,
Li2Cr(PO4)2,,,
VZnF5,,,
CeGe5,,,
LuPS4,,,
NaH4BrO2,,,
MgW4O9,,,
KBiF4,,,
VF4,,,
Hg3Se3O10,,,
ZnP2WO7,,,
RbV3(SeO6)2,,,
HoBiO3,,,
FeP4,,,
Te2OsCl12,,,
NaSbMoO5,,,
Cr2O5,,,
MgTi4O9,,,
Mg(HO)2,,,
PbSeO4,,,
TaTe5Pt,,,
CuH2SeO5,,,
Nb2SiTe4,,,
Ge5(Te4As)2,,,
Bi2S3,,,
Li2Cu2F7,,,
VSb(PO4)2,,,
ZnSnO2,,,
Mn2OF4,,,
Sr2Cu2TeO7,,,
V3(HO2)4,,,
TeAuI,,,
TeCF2,,,
Ta2Te4Br10O,,,
Li2Fe(PO3)4,,,
ZnCr4O9,,,
KBi(PS3)2,,,
CrAg(PS3)2,,,
Li3Sb2(PO4)3,,,
PdI2,,,
ZnCrF5,,,
CaH4(ClO)2,,,
Na(NO)2,,,
ZnCu(GeO3)2,,,
SbO2,,,
IO2,,,
Mo2O5,,,
LiHSO4,,,
ZnH4(ClO3)2,,,
CuSeO3,,,
Pb3SO6,,,
CuPO3,,,
Li2FeP2O7,,,
Ca2MgSi2O7,,,
Sb2O3,,,
ZnNi2S5,,,
Tl2SO3,,,
Mn4ZnO9,,,
Zn2(PS3)3,,,
CuMoF6,,,
Tl2S,,,
LiV2NiO6,,,
CuTe2O5,,,
AlBiCl6,,,
CeP3H8O7,,,
ZnFeF5,,,
VOF3,,,
V4S9Br4,,,
ReBiO5,,,
AlH4(SeO4)2,,,
Ag2WS4,,,
ZnC2(SN)2,,,
VSeO4,,,
Li3BiH8O7,,,
CaSnO2,,,
BaTl(WO3)2,,,
Yb2Te5O13,,,
Tl2Ge2Se5,,,
NdVSb3,,,
VO2F,,,
AuSeClO3,,,
Hg2TeBr3,,,
PbSeO3,,,
LiV2F9,,,
V3Se2ClO8,,,
